iter	Logloss
0	0.657836805
1	0.6225616477
2	0.5879031583
3	0.5584696073
4	0.5320546666
5	0.5074820346
6	0.4840192301
7	0.4613318612
8	0.4436025042
9	0.4252819823
10	0.4080754127
11	0.3916484432
12	0.3770583488
13	0.3641327179
14	0.3505847476
15	0.3386509889
16	0.3291531234
17	0.3197938573
18	0.3113601879
19	0.3032379659
20	0.2965414211
21	0.2898133648
22	0.2836980298
23	0.277275412
24	0.2717422189
25	0.2665968427
26	0.261957675
27	0.2574929417
28	0.2531699611
29	0.2490495551
30	0.244567291
31	0.2412526621
32	0.2386596273
33	0.2359046121
34	0.2333625432
35	0.2309284546
36	0.2287878861
37	0.2269472431
38	0.22525807
39	0.2234556613
40	0.2213330399
41	0.2199622352
42	0.218441091
43	0.2169463221
44	0.2153837507
45	0.2142474686
46	0.213355684
47	0.2120983727
48	0.2108418745
49	0.2097554873
50	0.2084655737
51	0.2076733412
52	0.207177425
53	0.2063424169
54	0.205655904
55	0.2045605532
56	0.2040712408
57	0.2036513173
58	0.2029389248
59	0.2021220026
60	0.2016187886
61	0.2009359246
62	0.2003432128
63	0.1995378918
64	0.1985182562
65	0.1979249495
66	0.1972778013
67	0.1969252044
68	0.196610009
69	0.1963179961
70	0.1957378175
71	0.195629857
72	0.1951964881
73	0.1948661219
74	0.1945003769
75	0.1942170897
76	0.1939414573
77	0.1937630171
78	0.1932802688
79	0.193043188
80	0.1927802277
81	0.1925082045
82	0.192345649
83	0.1918877292
84	0.1914716728
85	0.1912278693
86	0.1909458314
87	0.190645549
88	0.1903314839
89	0.1901465193
90	0.1899253034
91	0.1897060111
92	0.1895187461
93	0.189230164
94	0.1890390914
95	0.1889466586
96	0.1887638159
97	0.1885446427
98	0.1883952947
99	0.188223716
100	0.188091046
101	0.1878575943
102	0.1876888515
103	0.1874925038
104	0.1873545984
105	0.187145182
106	0.1870695462
107	0.1869351707
108	0.1868087078
109	0.1865623858
110	0.1863867418
111	0.1861854561
112	0.1860233171
113	0.1859248557
114	0.1857250772
115	0.1856482119
116	0.1854118054
117	0.1853386485
118	0.1851528311
119	0.1848913978
120	0.18451308
121	0.1842015136
122	0.1841668092
123	0.1839461486
124	0.1838693626
125	0.1837738758
126	0.1836368033
127	0.1834933452
128	0.183475993
129	0.1834303219
130	0.1833034228
131	0.1831040012
