iter	Passed	Remaining
0	19	19295
1	60	30407
2	93	31103
3	134	33371
4	151	30116
5	172	28571
6	193	27395
7	236	29374
8	255	28085
9	280	27768
10	312	28083
11	355	29256
12	396	30127
13	428	30177
14	475	31232
15	519	31962
16	538	31144
17	564	30812
18	605	31257
19	638	31281
20	659	30767
21	705	31350
22	747	31741
23	794	32302
24	837	32645
25	870	32601
26	903	32562
27	943	32768
28	976	32682
29	1018	32923
30	1061	33189
31	1086	32880
32	1108	32479
33	1151	32730
34	1172	32317
35	1203	32214
36	1228	31961
37	1247	31593
38	1288	31745
39	1320	31701
40	1366	31952
41	1387	31648
42	1431	31864
43	1453	31578
44	1498	31809
45	1525	31633
46	1544	31324
47	1588	31513
48	1634	31725
49	1679	31905
50	1724	32091
51	1767	32219
52	1786	31925
53	1828	32035
54	1870	32141
55	1918	32346
56	1937	32045
57	1955	31759
58	1998	31866
59	2042	32001
60	2074	31928
61	2121	32102
62	2171	32291
63	2215	32399
64	2264	32571
65	2307	32655
66	2351	32745
67	2394	32823
68	2427	32756
69	2470	32818
70	2515	32916
71	2533	32656
72	2581	32785
73	2626	32860
74	2674	32982
75	2714	33006
76	2760	33095
77	2786	32932
78	2830	32994
79	2871	33021
80	2912	33048
81	2956	33099
82	2988	33018
83	3033	33077
84	3080	33159
85	3123	33194
86	3155	33115
87	3202	33194
88	3251	33282
89	3284	33211
90	3329	33255
91	3370	33264
92	3413	33290
93	3455	33308
94	3494	33287
95	3532	33261
96	3572	33257
97	3616	33283
98	3656	33273
99	3697	33278
100	3736	33260
101	3780	33280
102	3825	33314
103	3869	33334
104	3913	33355
105	3941	33246
106	3964	33084
107	3995	33000
108	4038	33011
109	4085	33055
110	4130	33078
111	4175	33104
112	4217	33105
113	4249	33026
114	4297	33074
115	4331	33005
116	4378	33047
117	4421	33051
118	4466	33063
119	4513	33100
120	4562	33146
121	4607	33156
122	4627	32997
123	4670	32993
124	4696	32875
125	4727	32795
126	4772	32807
127	4820	32842
128	4842	32697
129	4864	32556
130	4909	32567
131	4953	32570
